Id,PostTypeId,AcceptedAnswerId,CreationDate,Score,ViewCount,OwnerUserId,LastEditorUserId,LastEditDate,Title,LastActivityDate,Tags,AnswerCount,CommentCount,FavoriteCount
4,1,7,2008-07-31T00:00:00.000Z,506,32399,8,126970,2017-03-10T00:00:00.000Z,While applying opacity to a form should we use a decimal or double value?,2017-03-10T00:00:00.000Z,"[c, winforms, type-conversion, decimal, opacity]",13,5,37
6,1,31,2008-07-31T00:00:00.000Z,223,14997,9,63550,2016-03-19T00:00:00.000Z,Percentage width child element in absolutely positioned parent on Internet Explorer 7,2016-03-19T00:00:00.000Z,"[html, css, css3, internet-explorer-7]",5,0,8
9,1,1404,2008-07-31T00:00:00.000Z,1546,399006,1,6025198,2017-05-10T00:00:00.000Z,Calculate age in C#,2017-08-01T00:00:00.000Z,"[c, .net, datetime]",60,8,344
11,1,1248,2008-07-31T00:00:00.000Z,1205,122973,1,6479704,2017-06-04T00:00:00.000Z,Calculate relative time in C#,2017-06-14T00:00:00.000Z,"[c, datetime, time, datediff, relative-time-span]",33,3,521
13,1,,2008-08-01T00:00:00.000Z,495,141997,9,3155639,2016-12-20T00:00:00.000Z,Determine a User's Timezone,2017-07-31T00:00:00.000Z,"[javascript, html, browser, timezone, timezoneoffset]",24,3,123
14,1,,2008-08-01T00:00:00.000Z,318,95667,11,6495084,2017-02-25T00:00:00.000Z,Difference between Math.Floor() and Math.Truncate(),2017-04-04T00:00:00.000Z,"[.net, math]",8,1,48
16,1,12446,2008-08-01T00:00:00.000Z,94,75421,2,2571493,2016-11-30T00:00:00.000Z,Filling a DataSet or DataTable from a LINQ query result set,2016-11-30T00:00:00.000Z,"[c, linq, web-services, .net-3.5]",5,0,13
17,1,26,2008-08-01T00:00:00.000Z,137,55816,2,546051,2011-10-21T00:00:00.000Z,Binary Data in MySQL,2016-07-31T00:00:00.000Z,"[mysql, database, binary-data, data-storage]",10,0,15
19,1,531,2008-08-01T00:00:00.000Z,246,38017,13,635549,2015-07-11T00:00:00.000Z,What is the fastest way to get the value of π?,2017-07-18T00:00:00.000Z,"[performance, algorithm, language-agnostic, unix, pi]",23,14,72
24,1,49,2008-08-01T00:00:00.000Z,117,50475,22,5195227,2016-03-11T00:00:00.000Z,Throw an error in a MySQL trigger,2016-11-19T00:00:00.000Z,"[mysql, database, triggers]",6,0,17
25,1,1443907,2008-08-01T00:00:00.000Z,113,7883,23,168175,2017-07-03T00:00:00.000Z,How to use the C socket API in C++ on z/OS,2017-07-03T00:00:00.000Z,"[c, c, sockets, mainframe, zos]",9,0,6
34,1,,2008-08-01T00:00:00.000Z,61,7590,,1213296,2015-12-16T00:00:00.000Z,Unloading a ByteArray in Actionscript 3,2016-05-28T00:00:00.000Z,"[actionscript-3, flex, bytearray]",8,0,2
36,1,352,2008-08-01T00:00:00.000Z,112,45627,32,2571493,2016-11-30T00:00:00.000Z,Check for changes to an SQL Server table?,2017-02-27T00:00:00.000Z,"[sql, sql-server, datatable, rdbms]",8,1,22
39,1,45,2008-08-01T00:00:00.000Z,65,4120,33,63550,2012-05-25T00:00:00.000Z,Reliable timer in a console application,2014-01-17T00:00:00.000Z,"[c, .net, vb.net, timer]",2,0,2
42,1,77,2008-08-01T00:00:00.000Z,234,29157,37,4595675,2015-12-14T00:00:00.000Z,Best way to allow plugins for a PHP application,2017-02-20T00:00:00.000Z,"[php, plugins, architecture, hook]",8,1,104
48,1,31910,2008-08-01T00:00:00.000Z,215,191562,40,2246271,2017-04-12T00:00:00.000Z,Multiple submit buttons in an HTML form,2017-04-12T00:00:00.000Z,"[html, form-submit, html-form, submit-button]",20,0,30
59,1,43110,2008-08-01T00:00:00.000Z,70,22604,45,885318,2014-01-01T00:00:00.000Z,"How do I get a distinct, ordered list of names from a DataTable using LINQ?",2014-08-19T00:00:00.000Z,"[c, linq, .net-3.5]",5,0,3
